Focal species,Variable,RI,Key coefficient
Epinephelus costae,Depth,0.4597397703422331,0.19484061729502572
Epinephelus costae,Serranus cabrilla,0.20026888444073615,-0.12859681100113848
Epinephelus costae,Productivity x Epinephelus marginatus,0.13707598740568314,-0.10639081873505134
Epinephelus costae,MPA x Epinephelus marginatus,0.11365208347210899,-0.09687509923285217
Epinephelus costae,Epinephelus marginatus,0.038614676370951624,0.05646764285700459
Epinephelus costae,Temperature x Epinephelus marginatus,0.02798943544607777,-0.04807513682331973
Epinephelus costae,Serranus scriba,0.012861332469422915,-0.03258865540943452
Epinephelus marginatus,MPA,0.3774626694993842,0.23375988198005537
Epinephelus marginatus,Serranus scriba,0.23342666140535664,-0.18382653668122412
Epinephelus marginatus,Serranus cabrilla,0.1575792108382047,-0.1510366820047368
Epinephelus marginatus,Productivity x Epinephelus costae,0.10727178076669236,-0.12461654920934104
Epinephelus marginatus,MPA x Epinephelus costae,0.0648273649501518,-0.09687509923285217
Epinephelus marginatus,Temperature x Epinephelus costae,0.025126694319934532,-0.060311572784523
Epinephelus marginatus,Epinephelus costae,0.022025884973292272,0.05646764285700459
Serranus cabrilla,Serranus scriba,0.5298091049901547,-0.3518170367217059
Serranus cabrilla,Temperature,0.27331469931212987,-0.25269034725605866
Serranus cabrilla,Epinephelus marginatus,0.09764512320977337,-0.1510366820047368
Serranus cabrilla,Epinephelus costae,0.07078578989932989,-0.12859681100113848
Serranus cabrilla,Depth,0.02576588039588513,0.07758533698333361
Serranus scriba,Serranus cabrilla,0.7394666914563744,-0.3518170367217059
Serranus scriba,Epinephelus marginatus,0.20188371783408052,-0.18382653668122412
Serranus scriba,Temperature,0.03192979974545311,-0.0731064432891638
Serranus scriba,MPA,0.01496875612451428,-0.05005533986740321
